,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos
131,"S. Ibaka Tor - PF,C ",evan's Neat Team,7,78,132,90%,31:00,8.0/15.6,.514,1.4/2.1,.667,0.3,17.7,7.9,0.9,0.1,1.0,1.4,0," PF,C "
132,"A. Rivers Hou - PG,SG ",FA,7,194,133,13%,36:08,4.0/9.9,.406,0.3/0.7,.400,1.7,10.0,2.4,4.1,0.9,0.4,0.3,0," PG,SG "
133,"J. Jackson Jr. Mem - PF,C ",Sometimes I Dribble,7,88,134,82%,27:34,5.1/11.0,.468,3.3/4.3,.767,0.7,14.3,4.6,1.0,0.9,1.3,1.6,0," PF,C "
134,L. Shamet Phi - PG ,FA,7,297,135,1%,17:42,3.7/7.1,.520,0.6/0.7,.800,2.0,10.0,1.3,1.3,0.7,0.1,0.4,0, PG 
135,"M. Morris Bos - SF,PF ",Green Machine,8,223,136,71%,27:15,4.5/11.3,.400,0.9/1.1,.778,1.6,11.5,6.0,1.0,0.8,0.6,0.9,0," SF,PF "
136,"N. Noel OKC - PF,C ",FA,4,229,137,8%,14:00,1.8/2.8,.636,0.0/0.0,-,0.0,3.5,3.5,0.8,1.8,0.3,0.8,0," PF,C "
137,"K. Dunn Chi - PG,SG ",W (Jan 25),7,73,138,82%,29:34,3.4/10.0,.343,1.7/2.0,.857,0.4,9.0,3.3,5.3,1.7,0.9,2.1,0," PG,SG "
138,P. Mills SA - PG ,FA,7,175,139,12%,22:25,3.9/9.1,.422,0.7/0.9,.833,1.9,10.3,2.0,3.7,0.9,0.1,0.9,0, PG 
139,D. Schroder OKC - PG ,The Monstars,7,135,140,70%,25:51,5.7/13.7,.417,2.9/3.3,.870,2.0,16.3,2.1,3.7,1.0,0.0,1.9,0, PG 
140,"B. Portis Chi - PF,C ",FA,6,181,141,49%,23:00,4.3/10.8,.400,2.2/2.5,.867,1.3,12.2,7.0,2.2,0.7,0.0,1.2,0," PF,C "
141,"J. Martin Orl - PF,C ",FA,2,335,142,0%,17:30,3.5/6.0,.583,0.0/0.0,-,3.0,10.0,1.5,1.0,0.0,0.5,1.0,0," PF,C "
