,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos,name,games_this_week
124,M. Gasol Mem - C ,evan's Neat Team,7,34,125,99%,30:51,5.1/11.9,.434,2.1/3.1,.682,1.3,13.7,9.1,6.0,0.7,0.3,2.7,0, C ,M. Gasol Mem - C ,4.0
125,"D. Miller NO - SG,SF ",FA,7,186,126,4%,29:51,3.0/7.9,.382,0.9/1.0,.857,2.3,9.1,2.4,1.1,0.4,1.1,0.6,0," SG,SF ","D. Miller NO - SG,SF ",3.0
126,"J. Richardson Mia - PG,SG,SF ",evan's Neat Team,5,56,127,92%,32:00,4.8/12.2,.393,2.2/2.6,.846,2.2,14.0,2.4,3.8,1.0,0.0,1.2,0," PG,SG,SF ","J. Richardson Mia - PG,SG,SF ",3.0
127,"J. Martin Orl - PF,C ",FA,2,335,128,0%,17:30,3.5/6.0,.583,0.0/0.0,-,3.0,10.0,1.5,1.0,0.0,0.5,1.0,0," PF,C ",3,3.0
128,M. Bamba Orl - C ,FA,5,122,129,37%,15:36,2.8/4.2,.667,1.0/1.4,.714,0.4,7.0,5.2,0.8,0.2,1.6,1.4,0, C ,M. Bamba Orl - C ,3.0
129,"K. Faried Hou - PF,C ",Stay Out the Paint,3,378,130,55%,29:00,6.0/9.7,.621,2.7/5.7,.471,0.3,15.0,9.3,0.3,1.0,1.7,1.3,0," PF,C ",3,3.0
130,"J. Winslow Mia - PG,SF,PF ",14 is the new 24,6,180,131,71%,30:49,5.8/12.0,.486,1.7/2.3,.714,1.8,15.2,5.5,3.7,0.5,0.5,2.7,0," PG,SF,PF ","J. Winslow Mia - PG,SF,PF ",3.0
131,"R. Kurucs Bkn - SF,PF ",FA,6,329,132,5%,22:49,5.3/8.8,.604,1.0/1.2,.857,0.3,12.0,3.3,0.8,1.0,0.2,1.3,0," SF,PF ","R. Kurucs Bkn - SF,PF ",4.0
132,T. Young Atl - PG ,Stay Out the Paint,6,106,133,87%,32:30,6.8/15.0,.456,4.8/5.7,.853,1.8,20.3,4.8,8.0,0.5,0.2,4.7,0, PG ,T. Young Atl - PG ,4.0
133,T. Lyles Den - PF ,FA,6,165,134,5%,17:49,4.5/9.3,.482,0.7/1.0,.667,0.8,10.5,4.5,2.0,0.7,0.2,0.3,0, PF ,T. Lyles Den - PF ,4.0
134,"M. Plumlee Den - PF,C ",FA,7,270,135,11%,18:51,3.6/5.1,.694,2.1/3.0,.714,0.0,9.3,5.3,3.4,0.6,0.4,1.3,0," PF,C ","M. Plumlee Den - PF,C ",4.0
135,S. Dinwiddie Bkn - PG ,FA,5,129,136,64%,29:12,7.0/13.6,.515,3.8/4.8,.792,2.4,20.2,2.2,4.8,0.2,0.2,3.0,INJ, PG ,S. Dinwiddie Bkn - PG ,4.0
136,"B. Wanamaker Bos - PG,SG ",FA,3,418,137,0%,17:19,2.3/6.0,.389,1.3/1.3,1.000,2.0,8.0,1.7,2.7,0.7,0.3,0.7,0," PG,SG ","B. Wanamaker Bos - PG,SG ",4.0
137,D. Bembry Atl - SF ,FA,6,286,138,13%,30:49,4.2/8.7,.481,0.8/1.0,.833,0.7,9.8,4.3,3.5,1.5,0.5,2.7,0, SF ,D. Bembry Atl - SF ,4.0
138,"T. Thompson Cle - PF,C ",Westbrook 4 Kidd,2,277,139,47%,29:00,4.5/10.0,.450,0.5/1.0,.500,0.0,9.5,11.0,1.0,0.0,1.0,0.5,INJ," PF,C ","T. Thompson Cle - PF,C ",2.0
139,"K. Dunn Chi - PG,SG ",Stay Out the Paint,6,73,140,82%,31:19,3.7/10.7,.344,1.5/1.7,.900,0.5,9.3,3.7,5.7,1.8,0.7,2.5,0," PG,SG ","K. Dunn Chi - PG,SG ",3.0
140,"J. Holiday Mem - SG,SF ",FA,8,192,141,40%,29:22,2.8/7.4,.373,1.3/1.5,.833,1.3,8.0,3.5,1.9,2.0,0.3,1.9,0," SG,SF ","J. Holiday Mem - SG,SF ",4.0
