,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ
10,"P. George OKC - SG,SF,PF ",Sometimes I Dribble,14,12,11,100%,37:30,9.2/21.8,.423,6.5/7.6,.850,3.6,28.5,7.4,2.9,2.4,0.0,2.1,0
11,R. Gobert Uta - C ,You Reach I Teach,14,27,12,100%,32:55,5.6/8.6,.650,4.6/6.6,.696,0.0,15.7,15.0,2.8,1.1,2.3,1.9,0
12,"L. Aldridge SA - PF,C ",You Reach I Teach,14,36,13,100%,33:42,10.2/17.9,.572,5.5/6.4,.856,0.1,26.0,7.1,3.2,0.7,1.3,1.9,0
13,"K. Thompson GS - SG,SF ",Taxmaddness,14,32,14,100%,33:12,8.9/17.5,.510,1.2/1.6,.739,3.8,22.9,3.8,1.8,1.4,0.7,1.0,0
14,B. Beal Was - SG ,WinterHawk,13,21,15,100%,38:00,9.8/22.2,.439,3.8/4.7,.820,2.9,26.3,5.2,5.5,2.2,0.8,3.2,0
15,"D. Russell Bkn - PG,SG ",Stay Out the Paint,13,90,16,91%,30:55,9.2/19.1,.484,1.7/1.8,.957,3.5,23.6,3.8,6.8,1.0,0.4,2.8,0
16,"C. Capela Hou - PF,C ",The Monstars,10,39,17,97%,35:48,7.6/12.5,.608,4.0/5.4,.741,0.0,19.2,14.0,1.5,0.6,1.3,1.2,INJ
17,D. Ayton Pho - C ,Taxmaddness,14,63,18,96%,30:42,7.3/12.1,.604,2.1/2.7,.763,0.0,16.6,10.4,1.4,1.3,1.2,1.4,0
18,J. Nurkic Por - C ,14 is the new 24,16,101,19,92%,28:15,6.4/11.6,.548,3.8/5.2,.723,0.0,16.5,10.8,4.6,1.1,2.1,2.5,0
19,"T. Harris LAC - SF,PF ",Stay Out the Paint,14,33,20,99%,34:12,7.2/14.7,.490,3.5/4.0,.875,2.4,20.3,7.6,2.7,1.3,0.4,1.8,0
20,"L. James LAL - SF,PF ",Stay Out the Paint,2,7,21,100%,28:30,7.0/12.5,.560,4.5/6.0,.750,1.0,19.5,13.5,6.0,1.0,0.5,3.0,INJ
